Source,Target,Weight
Action,Adventure,1252
Action,Comedy,1110
Action,Drama,649
Action,Sci-Fi,1294
Action,Space,261
Action,Mystery,257
Action,Shounen,910
Action,Police,122
Action,Supernatural,575
Action,Magic,389
Action,Sports,147
Action,Cars,40
Action,Seinen,301
Action,SuperPower,439
Action,MartialArts,326
Action,Fantasy,1139
Action,School,250
Action,Ecchi,219
Action,Psychological,77
Action,Vampire,65
Action,Military,364
Action,Historical,328
Action,Dementia,14
Action,Mecha,683
Action,Demons,210
Action,Horror,145
Action,Romance,334
Action,Samurai,127
Action,Shoujo,85
Action,ShoujoAi,13
Action,Josei,18
Action,ShounenAi,13
Action,Music,86
Action,Harem,88
Action,Parody,100
Action,Game,144
Action,SliceofLife,43
Action,Kids,169
Action,Thriller,41
Action,Yaoi,2
Adventure,Comedy,1085
Adventure,Drama,465
Adventure,Sci-Fi,746
Adventure,Space,146
Adventure,Shounen,713
Adventure,Fantasy,1269
Adventure,Supernatural,264
Adventure,SuperPower,150
Adventure,MartialArts,163
Adventure,Ecchi,74
Adventure,Demons,129
Adventure,Horror,60
Adventure,Military,102
Adventure,Romance,284
Adventure,Seinen,124
Adventure,Historical,277
Adventure,Samurai,44
Adventure,Game,94
Adventure,Mystery,181
Adventure,Magic,318
Adventure,Mecha,308
Adventure,Sports,43
Adventure,Shoujo,78
Adventure,Psychological,27
Adventure,Josei,9
Adventure,School,48
Adventure,Police,74
Adventure,Vampire,10
Adventure,Cars,30
Adventure,Thriller,9
Adventure,SliceofLife,82
Adventure,ShoujoAi,2
Adventure,Kids,537
Adventure,Music,47
Adventure,Harem,27
Adventure,Dementia,7
Adventure,ShounenAi,6
Adventure,Parody,32
Comedy,Drama,562
Comedy,Sci-Fi,729
Comedy,Space,92
Comedy,Shounen,1085
Comedy,Sports,271
Comedy,Josei,45
Comedy,Romance,920
Comedy,SliceofLife,1034
Comedy,SuperPower,276
Comedy,MartialArts,118
Comedy,Fantasy,1083
Comedy,School,944
Comedy,Ecchi,543
Comedy,Historical,241
Comedy,Samurai,60
Comedy,Magic,439
Comedy,Seinen,445
Comedy,Supernatural,530
Comedy,Harem,244
Comedy,Music,186
Comedy,Shoujo,245
Comedy,Military,74
Comedy,Mecha,240
Comedy,ShoujoAi,41
Comedy,Horror,85
Comedy,Psychological,40
Comedy,Demons,142
Comedy,Mystery,239
Comedy,Game,90
Comedy,Kids,675
Comedy,Parody,539
Comedy,Dementia,37
Comedy,Police,124
Comedy,ShounenAi,47
Comedy,Vampire,51
Comedy,Cars,17
Comedy,Yaoi,11
Comedy,Thriller,12
Drama,Sci-Fi,511
Drama,Space,150
Drama,Mystery,175
Drama,Shounen,301
Drama,Police,31
Drama,Supernatural,281
Drama,Magic,150
Drama,Josei,35
Drama,Romance,668
Drama,SliceofLife,392
Drama,Cars,13
Drama,Sports,169
Drama,Seinen,183
Drama,Horror,93
Drama,Psychological,143
Drama,Thriller,44
Drama,SuperPower,70
Drama,Fantasy,409
Drama,Military,219
Drama,Historical,371
Drama,Dementia,32
Drama,Mecha,206
Drama,Demons,66
Drama,MartialArts,59
Drama,Samurai,45
Drama,Shoujo,211
Drama,Harem,52
Drama,Music,152
Drama,Ecchi,54
Drama,School,284
Drama,ShoujoAi,20
Drama,ShounenAi,48
Drama,Vampire,24
Drama,Kids,231
Drama,Yaoi,21
Drama,Game,27
Drama,Parody,10
Sci-Fi,Space,424
Sci-Fi,Mystery,112
Sci-Fi,Shounen,508
Sci-Fi,Ecchi,116
Sci-Fi,Psychological,109
Sci-Fi,Military,338
Sci-Fi,Historical,60
Sci-Fi,Seinen,108
Sci-Fi,Dementia,20
Sci-Fi,Mecha,837
Sci-Fi,Police,90
Sci-Fi,Horror,71
Sci-Fi,Supernatural,117
Sci-Fi,Game,46
Sci-Fi,Magic,99
Sci-Fi,Fantasy,293
Sci-Fi,Sports,50
Sci-Fi,Romance,278
Sci-Fi,Harem,62
Sci-Fi,SuperPower,189
Sci-Fi,MartialArts,34
Sci-Fi,ShoujoAi,7
Sci-Fi,Music,102
Sci-Fi,Samurai,26
Sci-Fi,School,117
Sci-Fi,Parody,98
Sci-Fi,Shoujo,33
Sci-Fi,Thriller,25
Sci-Fi,SliceofLife,86
Sci-Fi,Vampire,7
Sci-Fi,Cars,11
Sci-Fi,Demons,32
Sci-Fi,Yaoi,2
Sci-Fi,Kids,178
Sci-Fi,ShounenAi,7
Sci-Fi,Josei,3
Space,Mystery,6
Space,Romance,49
Space,Mecha,211
Space,Military,155
Space,Horror,11
Space,MartialArts,3
Space,Sports,2
Space,Fantasy,20
Space,Psychological,7
Space,Shounen,71
Space,Supernatural,7
Space,Ecchi,10
Space,Parody,12
Space,Seinen,24
Space,SuperPower,10
Space,Harem,7
Space,School,7
Space,Music,40
Space,SliceofLife,11
Space,Police,3
Space,Demons,1
Space,Historical,3
Space,Shoujo,1
Space,Kids,32
Space,Magic,5
Space,Game,4
Space,Cars,3
Space,Dementia,3
Space,Vampire,1
Mystery,Police,92
Mystery,Supernatural,224
Mystery,Magic,23
Mystery,Horror,92
Mystery,Psychological,105
Mystery,Seinen,93
Mystery,Thriller,61
Mystery,Game,14
Mystery,Fantasy,107
Mystery,Shounen,142
Mystery,SuperPower,64
Mystery,Demons,31
Mystery,Romance,74
Mystery,Shoujo,26
Mystery,Josei,8
Mystery,ShounenAi,4
Mystery,Military,21
Mystery,Vampire,19
Mystery,Mecha,19
Mystery,Music,10
Mystery,Historical,58
Mystery,Dementia,13
Mystery,SliceofLife,28
Mystery,Ecchi,11
Mystery,ShoujoAi,2
Mystery,Parody,9
Mystery,School,50
Mystery,Kids,29
Mystery,MartialArts,20
Mystery,Harem,4
Mystery,Samurai,1
Mystery,Sports,3
Shounen,Fantasy,481
Shounen,Supernatural,303
Shounen,Sports,301
