anime_id,anime_name,genres,num_genres,assigned_communities,all_community_names,confidence,is_bridge,communities_spanned,community_distribution
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 2: 1, 3: 1}"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",5,1,Action & Adventure,0.6,False,2,"{1: 3, 3: 2}"
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 2: 1, 3: 1}"
7,Witch Hunter Robin,"Action, Mystery, Police, Supernatural, Drama, Magic",6,"1, 3","Action & Adventure, Dark & Psychological",0.5,True,2,"{1: 3, 3: 3}"
8,Bouken Ou Beet,"Adventure, Fantasy, Shounen, Supernatural",4,1,Action & Adventure,0.75,False,2,"{1: 3, 3: 1}"
15,Eyeshield 21,"Action, Sports, Comedy, Shounen",4,"1, 2","Action & Adventure, Romance & Slice of Life",0.5,True,2,"{1: 2, 2: 2}"
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life",5,2,Romance & Slice of Life,0.6,False,2,"{2: 3, 3: 2}"
17,Hungry Heart: Wild Striker,"Slice of Life, Comedy, Sports, Shounen",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 1: 1}"
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen",5,2,Romance & Slice of Life,0.4,False,4,"{1: 1, 4: 1, 2: 2, 3: 1}"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",7,3,Dark & Psychological,0.7142857142857143,False,3,"{3: 5, 1: 1, 2: 1}"
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 2: 1}"
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",7,1,Action & Adventure,0.7142857142857143,False,3,"{1: 5, 2: 1, 3: 1}"
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen",5,2,Romance & Slice of Life,0.6,False,2,"{1: 2, 2: 3}"
23,Ring ni Kakero 1,"Action, Shounen, Sports",3,1,Action & Adventure,0.6666666666666666,False,2,"{1: 2, 2: 1}"
24,School Rumble,"Comedy, Romance, School, Shounen",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 1: 1}"
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",6,1,Action & Adventure,0.6666666666666666,False,2,"{1: 4, 2: 2}"
26,Texhnolyze,"Action, Sci-Fi, Psychological, Drama",4,"1, 3","Action & Adventure, Dark & Psychological",0.5,True,2,"{1: 2, 3: 2}"
27,Trinity Blood,"Action, Supernatural, Vampire",3,3,Dark & Psychological,0.6666666666666666,False,2,"{1: 1, 3: 2}"
28,Yakitate!! Japan,"Comedy, Shounen",2,"1, 2","Action & Adventure, Romance & Slice of Life",0.5,True,2,"{2: 1, 1: 1}"
29,Zipang,"Action, Military, Sci-Fi, Historical, Drama, Seinen",6,1,Action & Adventure,0.5,False,3,"{1: 3, 3: 2, 2: 1}"
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",6,1,Action & Adventure,0.5,False,3,"{1: 3, 4: 1, 3: 2}"
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",4,"1, 3","Action & Adventure, Dark & Psychological",0.5,True,2,"{3: 2, 1: 2}"
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha",5,1,Action & Adventure,0.4,False,3,"{1: 2, 4: 1, 3: 2}"
33,Kenpuu Denki Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",10,1,Action & Adventure,0.4,False,3,"{1: 4, 3: 4, 2: 2}"
43,Koukaku Kidoutai,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 3: 1, 2: 1}"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",7,1,Action & Adventure,0.42857142857142855,False,3,"{1: 3, 3: 3, 2: 1}"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",7,1,Action & Adventure,0.42857142857142855,False,3,"{1: 3, 2: 2, 3: 2}"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai, Historical, Drama, Shounen",4,3,Dark & Psychological,0.75,False,2,"{3: 3, 1: 1}"
47,Akira,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",7,1,Action & Adventure,0.5714285714285714,False,3,"{1: 4, 3: 2, 2: 1}"
48,.hack//Sign,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 3: 1}"
49,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural",5,2,Romance & Slice of Life,0.6,False,3,"{2: 3, 1: 1, 3: 1}"
50,Aa! Megami-sama! (TV),"Comedy, Supernatural, Magic, Romance, Seinen",5,2,Romance & Slice of Life,0.6,False,3,"{2: 3, 3: 1, 1: 1}"
51,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural",5,3,Dark & Psychological,0.4,False,3,"{1: 1, 3: 2, 2: 2}"
52,Kidou Tenshi Angelic Layer,"Sci-Fi, Comedy, Sports, Drama, Shounen",5,1,Action & Adventure,0.4,False,3,"{1: 2, 2: 2, 3: 1}"
53,Ai Yori Aoshi,"Harem, Slice of Life, Comedy, Drama, Romance",5,2,Romance & Slice of Life,0.8,False,2,"{2: 4, 3: 1}"
54,Appleseed (Movie),"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",7,1,Action & Adventure,0.8571428571428571,False,2,"{1: 6, 3: 1}"
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",4,1,Action & Adventure,1.0,False,1,{1: 4}
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",5,2,Romance & Slice of Life,0.4,False,4,"{2: 2, 3: 1, 4: 1, 1: 1}"
58,Blue Gender,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",8,1,Action & Adventure,0.625,False,3,"{1: 5, 2: 1, 3: 2}"
59,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",6,2,Romance & Slice of Life,0.6666666666666666,False,3,"{1: 1, 2: 4, 3: 1}"
60,Chrno Crusade,"Action, Demons, Historical, Romance, Shounen, Supernatural",6,3,Dark & Psychological,0.5,False,3,"{1: 2, 3: 3, 2: 1}"
61,D.N.Angel,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",7,2,Romance & Slice of Life,0.5714285714285714,False,2,"{1: 3, 2: 4}"
62,D.C.: Da Capo,"Harem, Drama, Magic, Romance",4,2,Romance & Slice of Life,0.5,False,3,"{2: 2, 3: 1, 1: 1}"
63,DearS,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",6,2,Romance & Slice of Life,0.6666666666666666,False,2,"{1: 2, 2: 4}"
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",5,1,Action & Adventure,0.4,False,3,"{1: 2, 2: 2, 3: 1}"
65,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",5,1,Action & Adventure,0.4,False,3,"{1: 2, 2: 2, 3: 1}"
66,Azumanga Daioh,"Slice of Life, Comedy, School",3,2,Romance & Slice of Life,1.0,False,1,{2: 3}
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",7,1,Action & Adventure,0.42857142857142855,False,3,"{1: 3, 3: 3, 2: 1}"
68,Black Cat (TV),"Sci-Fi, Adventure, Comedy, Super Power, Shounen",5,1,Action & Adventure,0.8,False,2,"{1: 4, 2: 1}"
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",4,1,Action & Adventure,1.0,False,1,{1: 4}
